排名,电影名称,导演,上映年份,制作国家,类型,评分,评价人数
156,我是山姆,导演: 杰茜·尼尔森 Jessie Nelson,2001,美国,剧情 家庭,9.0,346609
157,阳光姐妹淘,导演: 姜炯哲 Hyeong-Cheol Kang,2011,韩国,剧情 喜剧,8.8,599839
158,七武士,导演: 黑泽明 Akira Kurosawa,1954,日本,动作 冒险 剧情,9.3,204297
159,血战钢锯岭,导演: 梅尔·吉布森 Mel Gibson,2016,澳大利亚 美国,剧情 传记 历史 战争,8.7,798513
160,恐怖直播,导演: 金秉祐 Byeong-woo Kim,2013,韩国,剧情 犯罪 悬疑,8.7,668939
161,惊魂记,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,美国,悬疑 惊悚 恐怖,9.0,307211
162,黑客帝国3：矩阵革命,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,美国,动作 科幻,8.8,457279
163,你的名字。,导演: 新海诚 Makoto Shinkai,2016,日本,剧情 爱情 动画,8.5,1442339
164,三块广告牌,导演: 马丁·麦克唐纳 Martin McDonagh,2017,英国 美国,剧情 犯罪,8.7,841552
165,电锯惊魂,导演: 詹姆斯·温 James Wan,2004,美国,悬疑 惊悚 恐怖,8.7,551013
166,达拉斯买家俱乐部,导演: 让-马克·瓦雷 Jean-Marc Vallée,2013,美国,剧情 传记 同性,8.8,463363
167,心迷宫,导演: 忻钰坤 Yukun Xin,2014,中国大陆,剧情 犯罪 悬疑,8.7,540758
168,疯狂原始人,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,美国,喜剧 动画 冒险,8.7,857039
169,谍影重重3,导演: 保罗·格林格拉斯 Paul Greengrass,2007,美国 德国 法国 英国,动作 悬疑 惊悚,8.8,429101
170,英雄本色,导演: 吴宇森 John Woo,1986,中国香港,剧情 动作 犯罪,8.6,555209
171,上帝之城,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,2002,巴西 法国,犯罪 剧情,9.0,307287
172,风之谷,导演: 宫崎骏 Hayao Miyazaki,1984,日本,动画 奇幻 冒险,8.9,361994
173,爱在午夜降临前,导演: 理查德·林克莱特 Richard Linklater,2013,美国 希腊,剧情 爱情,8.9,416744
