title,author,price
 AI绘画实战：Midjourney从新手到高手 用AI引爆绘画灵感，零基础从Midjourney新手进阶高手 Midjourney完全教程：从关键提示到效果出图，从基础理论到实战应用，从工具操作到创意实现，一本书轻松玩转AI绘画，领略无限艺术可能。,,¥66.70
" Origin科研绘图与学术图表绘制从入门到精通 科技绘图与科学可视化专业教程 专业级Origin 2023科研绘图与学术图表绘制指南:以“二维、三维科技绘图+拟合与分析+数据与信号处理”的思路进行全方位讲解, 掌握科技绘图与学术图表绘制的核心技能。",,¥122.50
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
